text,label
"without limiting the foregoing, tda shall, during the term (and, subject to the limitations and conditions on the rights as set forth in this agreement, thereafter) have the full and complete right to revise, telecast, broadcast, use, distribute, reproduce, record, publish, print, license, copyright and exhibit the contents of any results and proceeds, the golf instruction related products and any advertising materials and any versions or revisions thereof and, in tdas sole discretion, the results and proceeds, the golf instruction related products and advertising materials may be make by any process, instrumentation or device now known or hereafter developed and may be made or adapted for use in any and all media now known or hereafter developed (although it is acknowledged and agreed by tda that multi-media usage (except, of course, as incorporated into tdas golf instruction related products) shall be strictly limited to advertising) provided that any and all such uses are directly related to the marketing, development and sale of tdas golf instruction related products.",0.0
"upon request by about, ebix shall provide about with about customer data in the aggregated form, which aggregated form shall be jointly owned by ebix and about.",2.0
it is established by calendar year and renewed tacitly every year.,1.0
"upon termination of this agreement, fleet agrees to perform its obligations under this agreement until the earlier of .",1.0
"the laws of the state of new york (excluding any laws that direct the application of another jurisdictions law) govern all matters arising out of or relating to this agreement and all of the transactions it contemplates, including its validity, interpretation, construction, performance, and enforcement.",0.0
"except with regard to a partys breach of section 9, gross negligence, willful misconduct and indemnification obligations related to third party claims pursuant to section 12, each partys entire liability under this agreement will in no event exceed three times (3x) the total value of the work order under which the claim arose.",2.0
the company agrees to a one year engagement to contract the celebrity to speak at the company meetings and seminars along with endorsement of the company products.,0.0
"except as otherwise provided herein, the term of this agreement is three (3) years from the execution date (cooperation period).",0.0
"both parties acknowledge and confirm that the reserve bank of india (hereafter rbi) or persons authorized by it has right to access and inspect the pc financials documents, records of service transactions and other necessary information related to the services or activity given to, stored or processed by mobimagic within a reasonable time.",1.0
"if the aggregate actual number of details for the product made by the sales representatives for a calendar quarter is less than the quarterly minimum details for such calendar quarter, then in calculating the promotion fee due under section 6.1.1, the applicable percentage for such calendar quarter shall be reduced to a new percentage equal to .",1.0
neither this agreement nor the rights of either party hereunder shall be assigned by either party without the prior written consent of the other party.,0.0
the nfla agrees to license such rights to the company.,0.0
marketing and transportation services agreement,0.0
"notwithstanding any other provision of this agreement, rogers may terminate this agreement, at any time, upon sixty (60) days prior written notice to licensor.",2.0
"the company and the agent will each maintain, at their own expense, insurance with reputable insurers, such insurance to be in such form and amounts as are customary in the case of entities of established reputation engaged in the same or similar businesses and similarly situated, provided that such insurance will in any event include commercial general liability and umbrella liability insurance (including product liability coverage) for property damage, bodily injury and personal injury in an amount not less than five million dollars (5,000,000) combined single amount per occurrence and in the aggregate. each such liability insurance policy of the agent will name the company (as its interest may appear) as an additional insured under the policy and provide for at least thirty (30) days prior written notice to the company of any cancellation, modification or amendment of the policy. each product liability insurance policy of the company will name the agent (as its interest may appear) as an additional insured under the policy and provide for at least thirty (30) days prior written notice to the agent of any cancellation, modification, or amendment of this policy. each party will furnish to the other upon request a certificate of insurance or other documentation reasonably satisfactory to the other evidencing compliance with this paragraph 3.3.",1.0
"neither party shall be liable to the other for any special, consequential, incidental, punitive, or indirect damages or for lost profits arising from or relating to any breach of this agreement, regardless of any notice of the possibility of such damages.",2.0
"manufacturer may reject any non-complying product by (i) providing customer with no less than sixty (60) days prior written notice of manufacturers intention to reject such non-complying product along with the documentation set forth in section 4.7, (ii) meeting with customer at customers request to discuss the basis for the proposed rejection of the subject non-complying product, and (iii) providing customer with notice of rejection in the event that manufacturer rejects the subject non- complying product at the end of such sixty (60) day period (or such other time frame as the parties may agree upon).",1.0
commerce one will replace any defective media returned to commerce one during the warranty period.,1.0
"if a change in control occurs with respect to customer, mi agrees to continue to provide services under this agreement; provided that (a) mis obligation to provide services shall be limited to the entities comprising the customer prior to such change in control and (b) mis obligation to provide services shall be limited in any and all circumstances to the number of accounts and items processed in the 3-month period prior to such change in control occurring plus 25%.",2.0
"the term of this agreement shall extend from the date of execution hereof through and until _______, unless extended by written agreement of the parties.",0.0
"at least eight (8) service days, including but not limited to: 1. production days. up to four (4) production days (defined as a maximum of eight (8) consecutive hours each), with papa johns creative agency.",2.0
"oceanic time warner cable will use the content solely on channel 777, the las vegas channel.",2.0
"the term of this jsma shall commence on may 1, 2020 (the commencement date) and ends at april 30, 2029 (the term), with automatic renewals each for a period of five (5) years (a renewal term) unless notice is given pursuant to 5.2.",0.0
"each party shall maintain such insurance for so long as it continues its activities under this agreement, and thereafter for so long as it customarily maintains insurance for itself covering similar activities.",1.0
"for the license term and within the licensed territory, producer hereby grants to convergtv a right and license to distribute the program, file or video listed on the deal terms above (the program) consisting of",0.0
17.1.3. induce any person to leave his or her employment with us.,1.0
the distributor shall not order or purchase products from any source other than the company.,2.0
"this agreement commences on the date first above written, and will remain in effect for the period of five (5) years, except as otherwise provided herein.",0.0
"such a case, the remaining source plasma shall be immediately returned to sanofi pasteur, under admas liability and expenses. s",1.0
"this agreement will be governed and interpreted according to the laws of the state of california, without reference to principles of conflicts of laws.",0.0
"notwithstanding the foregoing, either party shall be permitted to assign this agreement and any of its rights and obligations hereunder to an affiliate or related company or to a purchaser of all or substantially all of its internet business, without obtaining the prior written consent of the other party.",0.0
"provided however, that forty niners sc shall be permitted to enter into a sponsorship agreement with any party that enters into a naming rights agreement with scsa for the stadium, provided that if scsa enters into a naming rights agreement for the stadium with a party that is in the products and services category, sponsor may immediately terminate this agreement and receive a pro rated refund of any amounts paid by sponsor for the unexpired contract year in which the termination occurs.",2.0
"this agreement and the relationship between the parties is governed by and will be construed exclusively in accordance with the laws of the state of florida (without regard to, and without applying, florida conflict-of-law rules).",0.0
"provided they do not infringe the marks of affiliate or an affiliate of affiliate, affiliate shall not directly or indirectly question, attack, contest or in any other manner impugn the validity of the marks or networks rights in and to the marks and shall reasonably cooperate with networks quality control, monitoring and inspection of the use of the marks.",2.0
"in the event that oceanic time warner cable removes the above content and or terminates this agreement prior to december 31, 2006, oceanic time warner cable agrees to pay a cancellation fee of five thousand dollars (5,000) per month multiplied by the number of months remain on the agreement.",2.0
"subject to the provisions of section 8.2, if the company determines to solicit additional equity financing subsequent to exercise of the option but prior to commencement of production (hereinafter defined) at the el aguila project, it shall provide written notice to that effect to hoc and hoc shall be entitled to exclusively provide such financing upon the terms and conditions hereinafter set forth.",2.0
"the companys obligations to provide defense and indemnity pursuant to this section 22 will be reduced to the extent that the claim or loss was caused by (a) the indemnified persons creation of modifications to the installed software, subscription software services, developer app, merchant processing services, documentation, company marketing materials, or services, unless such modifications (i) were authorized in writing by the company or were otherwise directed in writing or caused by the indemnifying party or (ii) were contemplated and permitted as a feature of any of the installed software or subscription software services or merchant processing services, and in each case solely to the extent such claim would not have occurred but for such modifications; (b) the indemnified persons failure to use updates or corrections made available by the indemnifying party, but solely to the extent such claim would not have occurred if such updates or corrections had been used; or (c) the operation of allscripts products or services or the combination or use of the installed software, developer app, subscription software services or merchant processing services or services in conjunction with allscripts products or services (unless directed in writing or caused by the company), if such claim would not have arisen but for such combination or use, and except to the extent arising from any combination performed by or on behalf of the company in connection with the services.",2.0
"in the event of termination by cisco for convenience, termination by distributor for ciscos material breach, or expiration of this agreement where cisco has provided distributor with written notice from an authorized representative of its intention not to renew the agreement, cisco agrees to repurchase all product in distributors inventory within  days following the effective date of termination or expiration.",1.0
you acknowledge that we will have no liability to you or any regulatory authority for any failure by you to obtain or maintain during the term of this agreement any necessary licenses or approvals required for the operation of the franchised business.,2.0
"this agreement will become effective as of the effective date and, unless sooner terminated pursuant to sections 3.1",0.0
"this agreement is entered into in the state of texas and shall be governed, interpreted and construed in accordance with the laws of the state of texas without regard to the conflicts of laws provisions thereof.",0.0
"licensor hereby grants to licensee an exclusive in the territory to (1) make sublicense copies and copies of the documentation to meet the demand of redistributors and customers and (2) market and sublicense sublicense copies and copies of the documentation, together with any copies of promotional and other materials which licensor may produce or obtain from time to time to assist licensee in marketing and sublicensing the licensed products during the term of this agreement by any one or more of the following means: (a) to a redistributor: to a redistributor pursuant to a redistributor agreement containing substantially the same terms and conditions as are set forth in this agreement (subject to section 2.5) and a sublicense with each customer of redistributor in accordance with subsection 2.2(b); or (b) to customers: pursuant to a sublicense signed by the customer.",2.0
"talent represents and warrants that during the term and in the territories, talent will not endorse or make any appearances or advertisements on behalf of any other product which is directly competitive to essis products.",2.0
"if at any time on or prior to the earlier of (i) december 31, 2007, or (ii) the date on which global energy completes an initial public offering (ipo) of its common stock, global energy sells additional common shares or other financial instruments convertible into its common shares, or enters into any similar transaction for the sale of an ownership interest in global energy which is the same or substantially the same as that sold to oxbow under section 1 of this agreement, and the price of which is less than 200.00 per share, global energy shall issue additional common shares to oxbow such that oxbows adjusted per-share price for its stockholdings shall be no greater than the lowest price paid by any such subsequent purchaser of its shares",2.0
"during the term and after expiration or termination of this agreement, musclepharm shall not contest or otherwise challenge or attack the as parties rights in the trademarks or name and appearance rights or the validity of the license being granted herein.",2.0
"during the term, the reseller agrees that it shall not induce any person employed by diversinet to leave diversinets employ to become an employee of reseller or its agents or contractors.",1.0
"notwithstanding the foregoing, no rights, obligations or liabilities hereunder shall be assignable by a party without prior written consent of all of the other parties; provided, however, that a party shall not unreasonably withhold its consent to the assignment of rights and obligations by the other parties to its affiliate if that affiliates performance has been guaranteed satisfactorily in form and substance by the assigning party.",0.0
attachment c to master franchise agreement multi-state addendum california appendix,0.0
this agreement shall remain in effect for sixty (60) months from the effective date (the initial term).,0.0
the number of converge support personnel will not exceed seven persons without vnes prior approval.,2.0
franchisee or third party sub -franchisees shall be under an obligation to set up at least 6 (six) smaaash centres during the first contract year or any other time period as may be provided by franchisor.,1.0
"consultant does not presently perform or intend to perform, during the term of this agreement, consulting or other services for, or engage in or intend to engage in an employment relationship with, companies who businesses or proposed businesses in any way involve products or services which would be competitive with the companys products or services, or those products or services proposed or in development by the company during the term of this agreement.",2.0
"in the event hoc exercises the option, the company agrees to use not less than five million u.s. dollars (us5,000,000) of the proceeds from the subscription of the purchased shares and the additional shares to fund exploration activities (including but not limited to drilling, assaying and staking new claims) on the el aguila project.",1.0
"notwithstanding the foregoing, it is understood that auriemma has no control or influence over any decisions by the university of connecticut to enter into any arrangement or agreement with any berkshire competitor.",2.0
"notwithstanding anything to the contrary in this agreement, in no event shall either party be liable to the other party or its affiliates, any successors in interest or any beneficiary or assignee of this agreement for any consequential, multiple, incidental, indirect, special, exemplary or punitive damages, or loss of profits or revenues arising out of or relating to this agreement or any breach hereof; provided, however, the foregoing shall not be construed as limiting an obligation of a party hereunder to indemnify, defend and hold harmless the other party against claims asserted by unaffiliated third parties, including, but not limited to, third party claims for special, indirect, consequential, punitive or exemplary damages.",2.0
"during the term, mmt shall not commercialize in any manner any competing product in the field in any country in the territory; provided, however, the parties hereby acknowledge that the restrictions set forth in this section 2.3 shall not apply to any affiliates of mmt (including pfizer).",2.0
theglobe shall provide a minimum of  impressions per month of promotion for auctions on the co-branded pages (including without limitation any of the foregoing).,1.0
"this agreement is to be governed by and construed in accordance with the laws of the state of california applicable to contracts made and to be performed wholly within such state, and without regard to the conflicts of laws principles thereof.",0.0
"the term of this agreement (the term) will begin on february 1, 1998 and end on the first anniversary of the date of this agreement; provided that (a) either party may terminate this agreement, effective at any time after the first three months of the term, by giving 30 days written notice of termination to the other party, and (b) either party may terminate this agreement at any time by giving written notice of termination to the other party, if the other party commits a material breach of its obligations hereunder that is not cured within 30 days after notice thereof from the non-breaching party.",0.0
"for the avoidance of doubt, licensor also grants to licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the licensed mark for the production and sale of inventory containing the licensed mark applied to such products during the transition period as set forth in section 8.2 of the separation and distribution agreement and in schedule 2 of this agreement.",1.0
"this agreement shall be effective as of the date first set forth above and, shall expire on the later of (i) five (5) years from the date hereof, or (ii) with respect to any projects identified in any contract for which vet tech is billing the client directly, upon the completion of cool techs services and receipt of payment by cool tech from vet tech for said services.",0.0
"each party shall obtain and maintain, for the term (i) commercial general liability insurance with a single combined liability limit of at least 5,000,000 per occurrence, (ii) workers compensationemployers liability insurance with a liability limit of at least 1,000,000 per occurrence or, if greater, the statutory minimum, and (iii) all risk property insurance on a replacement cost basis adequate to cover all assets and business interruption losses that a party may suffer in connection with or arising out of this agreement, subject to policy limits, and in the case of the policies described in clause (i) above, naming the other party as an additional insured thereunder.",1.0
the term of this agreement shall be two (2) years from the effective date with automatic annual renewals thereafter provided either party does not provide sixty (60) days notice of termination prior to the renewal date or the agreement is not otherwise terminated as set forth in section 8.,0.0
"neither of the parties hereto may assign its or his rights hereunder without the prior written consent of the other party hereto, and any such attempted assignment without such consent shall be null and void and without effect.",0.0
"for the initial term of this agreement, ivillage agrees that ford shall be the exclusive automobile manufacturer sponsor and advertiser throughout the network, with respect to entities whose primary business is that of an automotive manufacturer andor retailer.",2.0
"deliverable (including magenta developed intellectual property (including product)) or is otherwise necessary to fully exploit such deliverable, bachem hereby grants to magenta a perpetual, irrevocable, nonexclusive, worldwide, paid up, royalty-free license under such bachem intellectual property (with the full right to sublicense directly or indirectly through multiple tiers) to (i) copy, distribute, display, perform and create derivative works of the bachem intellectual property, in whole or in part; and (ii) to use bachem intellectual property andor practice the subject matter thereof, in each case solely in connection with manufacturing, marketing, promoting, using, selling, offering for sale, importing or distributing such deliverable (e.g., product).",0.0
"initial term shall mean the effective date through the day prior to the second anniversary of the effective date, unless earlier terminated pursuant to section 11.",0.0
"during the license term (which is identified in the deal terms), producer agrees that convergtv has the exclusive right to exercise the rights granted to it under this agreement with respect to the program, including those in section 1, within the licensed territory.",2.0
"in no event shall either party be liable for indirect or consequential loss or damage, including but not limited to, loss of profit, loss of sales or turnover, loss of or damage to reputation, loss of contract, loss of business, loss of anticipated savings and interest, increased operation costs, increase maintenance costs even if such loss or damage was reasonably foreseeable or if a party had been advised by the other party of the possibility of incurring such loss or damage.",2.0
"throughout the term and for a period of six (6) months after the expiration or termination of this agreement, neither calm nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products in any retail location located in an airport other than in collaboration with xspa, without the express prior written consent of xspa.",2.0
"unless liquidmetal notifies eutectix that the liquidmetal product does not meet the specifications within thirty (30) calendar days after receipt of the liquidmetal product, then the liquidmetal product shall be deemed accepted.",1.0
"mi may, at any time, withdraw any of the services (other than the core services) upon providing ninety (90) days prior written notice to customer.",2.0
any disputes or claims arising under this agreement shall be governed by the laws of the state of texas.,0.0
(licensor and licensee each a ʺpartyʺ collectively the ʺpartiesʺ),0.0
"planetcad hereby grants to dassault systemes a fully-paid, non-exclusive, worldwide, revocable limited license to the server software and infrastructure for the sole purpose of (i) hosting the co-branded service and (ii) fulfilling its",0.0
"bases on the operating conditions of the trasandino pipeline, ecopetrol shall only receive daily crude oil from the sender up to a maximum equivalent to 12% of the total light crude received in the day at the orito plant.",2.0
lbio may assign or transfer this agreement without the prior written consent of but with written notice to md anderson promptly following consummation of the relevant transaction.,0.0
"during the term of this agreement, sabco will not ----------- represent or accept as a primary, secondary, or associate sponsor any other company reasonably deemed to be competitive with prolong products.",2.0
"paperexchange hereby grants verticalnet a non-exclusive, non-transferable, royalty-free, right and license to link to the paperexchange site through a paperexchange link.",0.0
"you will not, at any time during the term of this agreement or after its termination or expiration, contest the validity or ownership of any of the marks or assist any other person in contesting the validity or ownership of the marks.",2.0
"upon termination of this agreement for any reason, alfa aesar may i) return its current inventory of products for reimbursement by ntc or ii) keep its current inventory of products and continue to sell such products pursuant to the terms hereof until depletion of inventory.",1.0
"the parties acknowledge and affirm their respective rights in and to the relevant trademark and related rights subject to this agreement and neither party shall directly or indirectly attack, challenge or impair the title and related rights of the other party during the interim period or any time thereafter.",2.0
"the initial term of this agreement commences as of the effective date and, unless terminated earlier pursuant to any express provision of this agreement, shall continue until five (5) years following the effective date (the initial term).",0.0
"effective as of the closing date, and subject to sections 2.3 and 2.4 and article iii hereof, equifax agrees, at its expense, to transfer, or cause to be transferred, to certegy or to a designated certegy member all right, title and interest held by equifax andor its affiliates as of the closing date in and to each of the assets identified on exhibit b hereto, subject to the retained rights described therein.",2.0
"thereafter, this agreement shall be renewed automatically on a five (5) year basis, unless one party notifies the other of its desire to terminate this agreement at least sixty 90 days prior to the expiration of the initial term or then current renewal term, as applicable, or unless a new agreement is signed between the usa mco and imedicor which will then invalidate this agreement.",0.0
"this agreement is subject to all laws, regulations, license conditions and decisions of the canadian radio-television and telecommunications commission (crtc) municipal, provincial and federal governments or other authorities which are applicable to rogers andor licensor, and which are now in force or hereafter adopted (applicable law).",0.0
"notwithstanding anything in this agreement to the contrary, licensee has no right to sublicense any rights granted hereunder to any third party, or otherwise permit any third party to use any licensed domain names or licensed content; provided, however, that any rights granted to licensee hereunder shall be sublicensable, without the prior written consent of licensor, to sina leju and licensees affiliates that are controlled by sina leju solely for the purpose of operating the business during the term.",1.0
this agreement shall commence on 1 january 1998.,0.0
hdi shall have the exclusive right to use of the deerskin brand for a self-contained web site for the offering of deerskin products directly to the consumer on the internet.,2.0
"commencing on the launch date, exact and its affiliates hereby grant to pfizer and its affiliates, on an exclusive basis for the co-promote field (except as to exact and its affiliates), and pfizer accepts, the right and obligation to promote and detail the product in the territory during the term jointly with exact, in accordance with the terms and conditions of this agreement, all applicable laws and the applicable annual marketing plan.",2.0
"moq means the minimum order quantity of product units during the initial term, as set forth in schedule 1.",1.0
"this agreement is deemed made and entered into in the state of california and shall be construed, enforced and performed in accordance with the laws of the state of california, without reference, to choice of law.",0.0
